fullSpell,desc,count,countStr,countUnit,price,priceStr,priceUnit,border,bubbleDesc,icon,entityId,entityType,id,name,longitude,latitude,imageType,selected
c1111027375552,5.9万(106套),106,106套,套,58933,5.9万,元,"116.449769,39.874743;116.449603,39.874082;116.449594,39.873462;116.451701,39.873407;116.451678,39.873961;116.450825,39.874708",10AM新坐标,,1111027375552,resblock,1111027375552,10AM新坐标,116.45053,39.874376,30002,False
c1111027380930,11.1万(91套),91,91套,套,111095,11.1万,元,"116.430464,39.903283;116.430392,39.902636;116.430096,39.902594;116.43028,39.901688;116.430396,39.899716;116.434143,39.899791;116.433973,39.903396",新景家园东区,,1111027380930,resblock,1111027380930,新景家园东区,116.432142,39.902354,30002,False
c1111027375606,7万(84套),84,84套,套,69929,7万,元,"116.408725,39.974848;116.408815,39.972518;116.409852,39.972511;116.409574,39.973279;116.410813,39.97322;116.4108,39.971896;116.408837,39.971917;116.409075,39.969743;116.409542,39.969481;116.409506,39.970123;116.41,39.970078;116.409955,39.969826;116.409533,39.969792;116.409551,39.969484;116.410225,39.969052;116.4112,39.96862;116.411689,39.968568;116.411667,39.968986;116.411698,39.969653;116.411231,39.969868;116.411204,39.970165;116.411132,39.97116;116.41133,39.971775;116.412219,39.971782;116.412318,39.969432;116.412956,39.96937;116.413019,39.969024;116.413032,39.968544;116.414038,39.96853;116.414079,39.970313;116.413306,39.970293;116.413234,39.970504;116.413149,39.970773;116.414016,39.970825;116.413953,39.970956;116.412969,39.970918;116.412951,39.971485;116.413948,39.971537;116.413827,39.973365;116.413338,39.974926",安华里社区,,1111027375606,resblock,1111027375606,安华里社区,116.411554,39.971886,30002,False
c1111027381005,9.4万(81套),81,81套,套,94122,9.4万,元,"116.419325,39.902919;116.421737,39.902895;116.421768,39.902345;116.421747,39.901964;116.421809,39.899992;116.419339,39.900019",兴隆都市馨园,,1111027381005,resblock,1111027381005,兴隆都市馨园,116.420099,39.901616,30002,False
c1111027378771,9.6万(75套),75,75套,套,95985,9.6万,元,"116.379754,39.88916;116.377536,39.889163;116.377464,39.88717;116.378913,39.887161;116.378955,39.886433;116.380033,39.886478;116.379903,39.886004;116.378277,39.885945;116.378176,39.885161;116.379642,39.885191;116.379907,39.885942;116.380365,39.886627;116.379611,39.886665;116.379674,39.887911",平原里小区,,1111027378771,resblock,1111027378771,平原里小区,116.37913,39.887761,30002,False
c1111027374691,10.9万(72套),72,72套,套,109436,10.9万,元,"116.427226,39.905496;116.430622,39.905565;116.431232,39.905144;116.431349,39.904421;116.430823,39.904386;116.43081,39.903511;116.427325,39.903413",国瑞城中区,,1111027374691,resblock,1111027374691,国瑞城中区,116.42879773676,39.904671803606,30002,False
c1111027378248,12.8万(72套),72,72套,套,127570,12.8万,元,"116.386272,39.973108;116.385689,39.973122;116.385662,39.973523;116.384224,39.973495;116.384197,39.973979;116.382113,39.973882;116.382544,39.972473;116.382876,39.972428;116.383011,39.972121;116.383568,39.972114;116.383828,39.972124;116.38386,39.972214;116.383838,39.972341;116.385051,39.97241;116.385042,39.972037;116.386308,39.972065",马甸南村,,1111027378248,resblock,1111027378248,马甸南村,116.384103,39.972885,30002,False
c1111027382367,6.5万(68套),68,68套,套,65041,6.5万,元,"116.451696,39.87159;116.447959,39.871721;116.447896,39.869873;116.448804,39.869838;116.449576,39.870081;116.45166,39.870046",紫芳园一区,,1111027382367,resblock,1111027382367,紫芳园一区,116.450058,39.870707,30002,False
c1111027375610,7.7万(67套),67,67套,套,77053,7.7万,元,"116.401763,39.970538;116.403164,39.970524;116.403649,39.970428;116.407431,39.970752;116.40744,39.969833;116.408572,39.969854;116.408496,39.972366;116.404763,39.972069;116.404494,39.972055;116.404471,39.972287;116.404732,39.972301;116.404763,39.972069;116.408496,39.972366;116.408452,39.974871;116.403915,39.974774;116.402487,39.974166;116.401565,39.973199",安华西里社区,,1111027375610,resblock,1111027375610,安华西里社区,116.402242,39.973402,30002,False
c1111027376315,7.8万(66套),66,66套,套,77697,7.8万,元,"116.451942,39.912993;116.450888,39.912992;116.450861,39.912272;116.450614,39.912255;116.45065,39.911833;116.451548,39.911829;116.45171,39.912179;116.451808,39.912245",地杰长安驿,,1111027376315,resblock,1111027376315,地杰长安驿,116.450853,39.911975,30002,False
